# claude — a handwritten pipeline-stress / coverage suite.
#
# This suite is for *testing the pp2lp pipeline*, not for staying green.  It
# deliberately spans the whole rule space (every PP family) and the whole
# proof-size span (one-rule leaves → 200+-rule proofs), AND it probes the known
# frontier: set-equality / equality-congruence, arithmetic antisymmetry and
# double-negation (AR4/AR7/AR8), INS over rewritten hyps, NAT membership, and
# existential/quantifier shapes REPLAY mishandles.  Authored by hand, grouped by
# what each section tests.
#
# INVARIANT: every goal is a genuine theorem submitted to PP as the BARE goal —
# no hypotheses, no goal-as-hypothesis self-promotion.  PP proves it outright,
# closing the goal's free variables universally and inferring their types from
# context.  A goal PP cannot prove produces no .trace and is rejected at gen time
# (see the guardrail in gen_traces), so it does not belong here.  (Mind PP's
# parser: `<=>` binds tighter than `&`, and `=>` is left-associative —
# parenthesise accordingly, e.g. `(a & b) <=> (b & a)`, `x<=y => (y<=x => x=y)`.)
#
# Format: name | kind | goal
#   prop  — bare identifiers are propositional variables
#   expr  — bare identifiers are expression variables (sets / functions / ints)
#
# `goals.txt` is the source of truth — regenerate with `pp2lp gen claude`,
# check with `pp2lp run claude`.  Coverage notes (→ RULE) are intended targets;
# measure actual firings from the generated `.replay` files.  Some goals are
# theorems pp2lp cannot yet *translate* (Farkas, AR4/AR7/AR8, …); those fail at
# the lambdapi-check stage, not at PP — a signal about the pipeline frontier.

# ════════════════════════════════════════════════════════════════════════
# A. Propositional connectives — AND / OR / NOT, tiny → medium  (AND*, OR*, NOT*)
# ════════════════════════════════════════════════════════════════════════

# leaves (1–3 rules)

# identity / idempotence
p_imp_self        | prop | a => a
z4_eimp51         | expr | not(y = x) & a: s => (not(x = y) => a: s)
z4_eimp52         | expr | y = x & a: s => (x = y => a: s)
z4_eqc_deep       | expr | (y = x or a: s) & not(a: s) => x = y
z4_eqc_ante       | expr | (y = x => a: s) & x = y => a: s
z4_ectr_app       | expr | x = y & f(x): s & not(f(y): s) => bfalse
z4_ectr_app2      | expr | x = y & not(f(x): s) & f(y): s => bfalse
z4_evr11_or       | expr | not(x = x) or a: s => a: s
z4_vr2_neg        | expr | not(x = x) => bfalse
z4_vr2_taut       | expr | not(not(x = x))
z4_all2_conj      | expr | !x.(x: s) & a: t => a: t
z4_all2_or        | expr | (!x.(x: s)) or a: s => (a: s or !x.(x: s))
z4_xst2_swap      | expr | #x.#y.(x: s & y: t) => #y.#x.(x: s & y: t)
z4_xst61_or       | expr | a: s or #x.(x: t) => #x.(x: t) or a: s
z4_xst61_elim     | expr | (a: s or #x.(x: t)) & not(a: s) => #x.(x: t)
z4_ar6_low        | expr | 0 <= x => -2 <= x
z4_ar6_neg        | expr | -1 <= x => -4 <= x
z4_ar7_swap       | expr | y <= x & x <= y => x = y
z4_ar7_use        | expr | y <= x & x <= y & x: s => y: s
z4_ar13_squeeze   | expr | 1 <= x & x <= 1 => x = 1
z4_ar13_interval  | expr | 0 <= x & x <= 1 & not(x = 0) => x = 1
z4_nrm16_empty    | expr | not(#x.(not(x = x)))
z4_nrm18_neg_xst  | expr | !x.(x: s) => not(#y.(not(y: s)))
z4_nrm18_inst     | expr | !x.(0 <= x) => not(#y.(not(0 <= y)))
z4_nrm2730_xst    | expr | (#x.(x <= 0 & 0 <= x & x: s)) => #y.(y: s)

# Z.f — chain-side antisymmetry hunt: AR7_1/AR8_1 (the last emit-side
# residual — no producible trace so far) and the NRM27/28/30 zero-pin
# specialisations of NRM29.  Variants of qar_antisym (the one shape whose
# chain REPLAY survives).
z5_anti_free      | expr | !x.((x <= y => (y <= x => x = y)))
z5_anti_lit       | expr | !x.((x <= 3 => (3 <= x => x = 3)))
z5_anti_zero      | expr | !x.((x <= 0 => (0 <= x => x = 0)))
z5_anti_zero_rev  | expr | !x.((0 <= x => (x <= 0 => 0 = x)))
z5_anti_flip      | expr | !x.(!y.((x <= y => (y <= x => y = x))))
z5_anti_sub       | expr | !x.(!y.((x - y <= 0 => (y - x <= 0 => x = y))))
z5_anti_use       | expr | !x.(!y.((x <= y => (y <= x => (x: s => y: s)))))
z5_anti_zero_use  | expr | !x.((x <= 0 => (0 <= x => (x: s => 0: s))))
z5_anti_zero_useb | expr | !x.((x <= 0 => (0 <= x => (x: s => 0: s))))
z5_anti_three     | expr | !x.!y.!z.(x <= y => y <= x => x = y or z = z)
z5_anti_neg       | expr | !x.((-x <= 0 => (0 <= -x => x = 0)))
z5_anti_lit_use   | expr | !x.((x <= 7 => (7 <= x => (x: s => 7: s))))

# ============================================================
# Merged from the retired nrm_test suite — systematic NRM-rule
# coverage (spec §8.13–8.16). Goal names carry the intended NRM
# target.
# ============================================================
# ── Vacuous predicates / set equality (NRM1) ──
nrm1_subset_refl     | expr | s <: s
nrm1_eq_singleton    | expr | {x} = {x}

# ── Implication body with x = E substitution (NRM3, 5, 13, 20, 22) ──

# ── Conjunction in the consequent (NRM6) ──

# ── Conjunction in the antecedent / cascaded ⇒ (NRM4, 5) ──

# ── Negation / FALSE bodies (NRM10, 11, 12, 14, 15, 24) ──

# ── Relations / functions (NRM5, 6, 8, 9, 10, 13) ──

# ── Domain / range: witness instantiation (NRM14, 19) ──

# ── Power set (NRM9, 13) ──

# ── Nested universals → compound binder (NRM8, 25, 26) ──
nrm8_nested_univ  | expr | !x.(!y.((x: s => (y: t => x: s))))

# ── Reversed equality E = x (NRM2, 4, 21, 23) — may be PP-normalised away ──

# ── Arithmetic (NRM27–30, not yet implemented) ──
nrm_arith_leq        | expr | x <= x

# ── Propositional sanity ──
nrm_prop_impl        | prop | a => a

# ── Round 2: candidates for NRM4/11/24/25 + arithmetic (27–30) ──
nrm_arith_nat_zero   | expr | !x.(x: NAT => x <= x)

# ============================================================
# Merged from the retired gemini suite — compound / multi-
# hypothesis goals (function composition, transitivity, prop laws).
# ============================================================
gemini_demorgan_and      | prop | not(a & b) <=> (not(a) or not(b))
gemini_demorgan_or       | prop | not(a or b) <=> (not(a) & not(b))
gemini_contrapositive    | prop | (a => b) <=> (not(b) => not(a))
gemini_peirce            | prop | ((a => b) => a) => a
gemini_distrib_and_or    | prop | (a or (b & c)) <=> ((a or b) & (a or c))
gemini_implication_trans | prop | (a => b) & (b => c) => (a => c)
gemini_subset_singleton  | expr | {x} <: s & {y} <: s => {x,y} <: s
gemini_app_equality      | expr | f(g(x)) = y & g(x) = z => f(z) = y
gemini_nested_app_eq     | expr | f(x) = g(y) & g(y) = h(z) => f(x) = h(z)
gemini_comp_domain       | expr | !x.(x: s => f(x): t) & !y.(y: t => g(y): u) => !x.(x: s => g(f(x)): u)
gemini_add_commutative   | expr | x + y <= z => y + x <= z
gemini_neg_neg_bounds    | expr | x <= 0 & y <= 0 => x + y <= 0
gemini_leq_transitivity  | expr | x <= y & y <= z => x <= z
gemini_sub_equivalence   | expr | x - y <= 0 => x <= y
gemini_double_contra     | expr | !x.(x: s => not(x: t)) & a: s & a: t => bfalse

# Merged from the retired synth suite (the one shape claude lacked).
prop_curry | prop | (a & b => c) <=> (a => (b => c))

# ════════════════════════════════════════════════════════════════════════
# >>> GX GENERATED BLOCK (regenerable; see /tmp/gen_goals.py) >>>
# GX. Parameterized size-sweep families — scaling / performance benchmark.
#     Dense linear chains + width sweeps + super-linear case-splits across the
#     families PP proves bare and REPLAY does not truncate, swept over size so
#     proof length scales with the parameter.  Generated, not hand-authored;
#     every goal is a genuine theorem.  Arithmetic sweeps are capped at PP's
#     provable band.
# ════════════════════════════════════════════════════════════════════════
gx_syll3                   | prop | (a1 => a2) & (a2 => a3) => (a1 => a3)
gx_syll4                   | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) => (a1 => a4)
gx_syll5                   | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) => (a1 => a5)
gx_syll6                   | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) => (a1 => a6)
gx_syll7                   | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) => (a1 => a7)
gx_syll8                   | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) => (a1 => a8)
gx_syll9                   | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) => (a1 => a9)
gx_syll10                  | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) => (a1 => a10)
gx_syll11                  | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) => (a1 => a11)
gx_syll12                  | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) => (a1 => a12)
gx_syll13                  | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) => (a1 => a13)
gx_syll14                  | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) => (a1 => a14)
gx_syll15                  | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) => (a1 => a15)
gx_syll16                  | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) => (a1 => a16)
gx_syll17                  | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) => (a1 => a17)
gx_syll18                  | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) => (a1 => a18)
gx_syll19                  | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) => (a1 => a19)
gx_syll20                  | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) => (a1 => a20)
gx_syll21                  | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) & (a20 => a21) => (a1 => a21)
gx_syll22                  | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) & (a20 => a21) & (a21 => a22) => (a1 => a22)
gx_syll23                  | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) & (a20 => a21) & (a21 => a22) & (a22 => a23) => (a1 => a23)
gx_syll24                  | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) & (a20 => a21) & (a21 => a22) & (a22 => a23) & (a23 => a24) => (a1 => a24)
gx_syll25                  | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) & (a20 => a21) & (a21 => a22) & (a22 => a23) & (a23 => a24) & (a24 => a25) => (a1 => a25)
gx_syll26                  | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) & (a20 => a21) & (a21 => a22) & (a22 => a23) & (a23 => a24) & (a24 => a25) & (a25 => a26) => (a1 => a26)
gx_syll27                  | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) & (a20 => a21) & (a21 => a22) & (a22 => a23) & (a23 => a24) & (a24 => a25) & (a25 => a26) & (a26 => a27) => (a1 => a27)
gx_syll28                  | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) & (a20 => a21) & (a21 => a22) & (a22 => a23) & (a23 => a24) & (a24 => a25) & (a25 => a26) & (a26 => a27) & (a27 => a28) => (a1 => a28)
gx_syll29                  | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) & (a20 => a21) & (a21 => a22) & (a22 => a23) & (a23 => a24) & (a24 => a25) & (a25 => a26) & (a26 => a27) & (a27 => a28) & (a28 => a29) => (a1 => a29)
gx_syll30                  | prop | (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) & (a20 => a21) & (a21 => a22) & (a22 => a23) & (a23 => a24) & (a24 => a25) & (a25 => a26) & (a26 => a27) & (a27 => a28) & (a28 => a29) & (a29 => a30) => (a1 => a30)
gx_mp3                     | prop | a1 & (a1 => a2) & (a2 => a3) => a3
gx_mp4                     | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) => a4
gx_mp5                     | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) => a5
gx_mp6                     | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) => a6
gx_mp7                     | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) => a7
gx_mp8                     | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) => a8
gx_mp9                     | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) => a9
gx_mp10                    | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) => a10
gx_mp11                    | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) => a11
gx_mp12                    | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) => a12
gx_mp13                    | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) => a13
gx_mp14                    | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) => a14
gx_mp15                    | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) => a15
gx_mp16                    | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) => a16
gx_mp17                    | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) => a17
gx_mp18                    | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) => a18
gx_mp19                    | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) => a19
gx_mp20                    | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) => a20
gx_mp21                    | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) & (a20 => a21) => a21
gx_mp22                    | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) & (a20 => a21) & (a21 => a22) => a22
gx_mp23                    | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) & (a20 => a21) & (a21 => a22) & (a22 => a23) => a23
gx_mp24                    | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) & (a20 => a21) & (a21 => a22) & (a22 => a23) & (a23 => a24) => a24
gx_mp25                    | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) & (a20 => a21) & (a21 => a22) & (a22 => a23) & (a23 => a24) & (a24 => a25) => a25
gx_mp26                    | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) & (a20 => a21) & (a21 => a22) & (a22 => a23) & (a23 => a24) & (a24 => a25) & (a25 => a26) => a26
gx_mp27                    | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) & (a20 => a21) & (a21 => a22) & (a22 => a23) & (a23 => a24) & (a24 => a25) & (a25 => a26) & (a26 => a27) => a27
gx_mp28                    | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) & (a20 => a21) & (a21 => a22) & (a22 => a23) & (a23 => a24) & (a24 => a25) & (a25 => a26) & (a26 => a27) & (a27 => a28) => a28
gx_mp29                    | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) & (a20 => a21) & (a21 => a22) & (a22 => a23) & (a23 => a24) & (a24 => a25) & (a25 => a26) & (a26 => a27) & (a27 => a28) & (a28 => a29) => a29
gx_mp30                    | prop | a1 & (a1 => a2) & (a2 => a3) & (a3 => a4) & (a4 => a5) & (a5 => a6) & (a6 => a7) & (a7 => a8) & (a8 => a9) & (a9 => a10) & (a10 => a11) & (a11 => a12) & (a12 => a13) & (a13 => a14) & (a14 => a15) & (a15 => a16) & (a16 => a17) & (a17 => a18) & (a18 => a19) & (a19 => a20) & (a20 => a21) & (a21 => a22) & (a22 => a23) & (a23 => a24) & (a24 => a25) & (a25 => a26) & (a26 => a27) & (a27 => a28) & (a28 => a29) & (a29 => a30) => a30
